Epoch	Train_Loss	Val_Loss
------------------------------
2	0.748215	0.671749
4	0.646541	0.581986
6	0.742380	0.570308
8	0.525874	0.518965
10	0.465375	0.492639
12	0.423821	0.479924
14	0.386178	0.478513
16	0.350114	0.488049
18	0.313977	0.498400
20	0.277646	0.525104
22	0.241528	0.560474
24	0.207218	0.605435
26	0.176291	0.662890
28	0.148462	0.728854
30	0.124453	0.790146
32	0.103343	0.854196
34	0.085255	0.922560
36	0.070192	0.986561
38	0.056859	1.047983
40	0.045718	1.121984
42	0.035850	1.184632
44	0.027700	1.237101
46	0.020704	1.281093
48	0.014745	1.336116
50	0.009740	1.375365
52	0.005957	1.400205
54	0.003259	1.428539
56	0.001495	1.455336
58	0.000619	1.481005
60	0.000264	1.498650
