Epoch	Train_Loss	Val_Loss
------------------------------
1	0.242995	0.189105
3	0.226935	0.131355
5	0.135967	0.080399
7	0.076632	0.040161
9	0.055438	0.057545
11	0.058932	0.034060
13	0.038911	0.035669
15	0.035187	0.028198
17	0.029975	0.030728
19	0.027252	0.032500
21	0.025504	0.024632
23	0.026644	0.026442
25	0.018900	0.016522
27	0.018266	0.016862
29	0.016073	0.023721
31	0.014997	0.020972
33	0.013086	0.027517
35	0.012013	0.022343
37	0.009238	0.017629
39	0.007865	0.024174
41	0.007016	0.023573
43	0.005910	0.027713
45	0.004896	0.015512
47	0.003690	0.026520
49	0.003014	0.024102
51	0.002527	0.023873
53	0.001473	0.031386
55	0.000935	0.025920
57	0.000361	0.034475
59	0.000203	0.037443
